Loan Identifier,Property Name,City,State,Units,Interest Rate,Maturity Date,Current Balance,Original Balance,Debt Service Coverage Ratio,Physical Occupancy,Net Operating Income,County
FM001,Peachtree Multifamily One,Atlanta,GA,245,4.125,2027-06-30,24500000,25000000,1.25,0.94,3062500,Fulton
FM002,Dallas Park Apartments,Dallas,TX,180,3.875,2028-03-31,18000000,18500000,1.35,0.92,2437500,Dallas
FM003,Houston Towers Residential,Houston,TX,320,4.250,2027-09-30,32000000,33000000,1.28,0.91,4080000,Harris
FM004,Tampa Bay Heights,Tampa,FL,200,4.500,2026-12-31,20000000,20500000,1.22,0.89,2250000,Hillsborough
FM005,Austin Central Living,Austin,TX,160,3.750,2029-01-31,16000000,16200000,1.40,0.95,2160000,Travis
FM006,Miami Beach Residences,Miami,FL,280,4.750,2027-03-31,28000000,29000000,1.18,0.87,2380000,Miami-Dade
FM007,Jacksonville Waterfront,Jacksonville,FL,150,4.125,2028-06-30,15000000,15200000,1.32,0.90,1950000,Duval
FM008,Orlando Gateway Apartments,Orlando,FL,220,4.375,2027-12-31,22000000,22500000,1.26,0.92,2750000,Orange
FM009,Charlotte Corporate Park,Charlotte,NC,190,4.000,2028-09-30,19000000,19500000,1.38,0.93,2470000,Mecklenburg
FM010,Raleigh Tech Square,Raleigh,NC,170,3.875,2029-03-31,17000000,17200000,1.41,0.94,2210000,Wake
FM011,Greensboro Market Place,Greensboro,NC,140,4.125,2027-06-30,14000000,14200000,1.29,0.91,1785000,Guilford
FM012,New Orleans Garden District,New Orleans,LA,210,4.625,2026-12-31,21000000,21500000,1.20,0.88,2520000,Orleans
FM013,Baton Rouge South Park,Baton Rouge,LA,160,4.500,2027-09-30,16000000,16300000,1.25,0.89,1920000,East Baton Rouge
FM014,Shreveport Central Apartments,Shreveport,LA,130,4.750,2026-06-30,13000000,13200000,1.17,0.86,1430000,Caddo
FM015,Louisville Riverfront,Louisville,KY,240,4.250,2028-03-31,24000000,24500000,1.30,0.92,3120000,Jefferson
FM016,Lexington Park Commons,Lexington,KY,180,4.125,2027-12-31,18000000,18300000,1.27,0.90,2250000,Fayette
FM017,Birmingham Valley View,Birmingham,AL,220,4.375,2027-09-30,22000000,22500000,1.24,0.89,2750000,Jefferson
FM018,Mobile Bay Apartments,Mobile,AL,160,4.625,2026-12-31,16000000,16200000,1.19,0.87,1760000,Mobile
FM019,Kansas City Metropolitan,Kansas City,KS,270,4.000,2029-01-31,27000000,27500000,1.36,0.93,3645000,Wyandotte
FM020,Topeka Heights Residential,Topeka,KS,150,4.125,2028-06-30,15000000,15300000,1.31,0.91,1950000,Shawnee
FM021,Tulsa Downtown Living,Tulsa,TX,200,4.375,2027-06-30,20000000,20500000,1.27,0.91,2550000,Tulsa
FM022,Fort Worth Midtown,Fort Worth,TX,210,4.000,2029-03-31,21000000,21300000,1.39,0.94,2835000,Tarrant
FM023,San Antonio Mission District,San Antonio,TX,260,4.250,2027-12-31,26000000,26500000,1.29,0.92,3380000,Bexar
FM024,Corpus Christi Bay View,Corpus Christi,TX,140,4.625,2026-09-30,14000000,14200000,1.21,0.87,1610000,Nueces
FM025,Brownsville Riverside,Brownsville,TX,120,4.750,2026-03-31,12000000,12200000,1.15,0.84,1320000,Cameron
FM026,Gainesville Campus Quarter,Gainesville,FL,185,4.500,2027-03-31,18500000,19000000,1.23,0.90,2220000,Alachua
FM027,Pensacola Historic District,Pensacola,FL,165,4.375,2027-12-31,16500000,16800000,1.25,0.88,2062500,Escambia
FM028,Jacksonvile Beach Towers,Jacksonville,FL,290,4.125,2028-09-30,29000000,29500000,1.32,0.91,3770000,Duval
FM029,Savannah Historic Residences,Savannah,GA,180,4.250,2027-06-30,18000000,18500000,1.28,0.92,2295000,Chatham
FM030,Augusta Park Apartments,Augusta,GA,170,4.500,2026-12-31,17000000,17300000,1.22,0.89,1870000,Richmond
FM031,Macon Central Park,Macon,GA,155,4.375,2027-09-30,15500000,15800000,1.26,0.91,1953000,Bibb
FM032,Athens College Town,Athens,GA,195,4.125,2028-03-31,19500000,19800000,1.29,0.93,2498000,Clarke
FM033,Wilmington Downtown Living,Wilmington,NC,145,4.000,2029-06-30,14500000,14700000,1.40,0.94,1885000,New Hanover
FM034,Fayetteville Military District,Fayetteville,NC,160,4.125,2028-12-31,16000000,16300000,1.27,0.90,2080000,Cumberland
FM035,Monroe Park Plaza,Monroe,LA,135,4.625,2027-03-31,13500000,13800000,1.23,0.88,1620000,Ouachita
FM036,Lafayette Garden Apartments,Lafayette,LA,175,4.500,2026-09-30,17500000,17800000,1.26,0.91,2100000,Lafayette
FM037,Covington Riverfront,Covington,KY,155,4.375,2027-06-30,15500000,15800000,1.25,0.89,1940000,Kenton
FM038,Owensboro Central,Owensboro,KY,140,4.250,2028-03-31,14000000,14300000,1.30,0.92,1820000,Daviess
FM039,Montgomery Executive Park,Montgomery,AL,185,4.500,2027-03-31,18500000,19000000,1.28,0.91,2367500,Montgomery
FM040,Huntsville Tech Park,Huntsville,AL,175,4.375,2027-12-31,17500000,17800000,1.26,0.90,2187500,Madison
FM041,Tuscaloosa College Park,Tuscaloosa,AL,150,4.125,2028-09-30,15000000,15300000,1.31,0.93,1950000,Tuscaloosa
FM042,Wichita Central Living,Wichita,KS,240,4.000,2029-03-31,24000000,24500000,1.37,0.94,3240000,Sedgwick
FM043,Olathe Midtown,Olathe,KS,160,4.250,2028-06-30,16000000,16200000,1.32,0.92,2112000,Johnson
FM044,Overland Park Residences,Overland Park,KS,200,4.125,2027-12-31,20000000,20500000,1.29,0.91,2600000,Johnson
FM045,Lubbock Tech Campus,Lubbock,TX,145,4.375,2027-09-30,14500000,14800000,1.25,0.88,1810000,Lubbock
FM046,Amarillo Sunrise Apartments,Amarillo,TX,175,4.500,2026-12-31,17500000,17800000,1.21,0.86,2100000,Potter
FM047,Beaumont Industrial Park,Beaumont,TX,155,4.625,2026-06-30,15500000,15800000,1.18,0.85,1736000,Jefferson
FM048,Tyler Rose Valley,Tyler,TX,140,4.375,2027-06-30,14000000,14300000,1.26,0.90,1750000,Smith
FM049,Longview Commerce Center,Longview,TX,165,4.250,2027-12-31,16500000,16800000,1.28,0.92,2112000,Gregg
FM050,Odessa Basin Residences,Odessa,TX,130,4.750,2026-09-30,13000000,13200000,1.16,0.84,1430000,Ector
